"year","month","Total","Male","Female","juveniles","dependent"
2011,"Jun",6.9,6.8,6.9,3.1,7.7
2011,"May",7,7,7,3.1,7.8
2011,"Apr",7.3,7.4,7.2,3.1,8.2
2011,"Mar",7.6,7.9,7.3,3.3,8.5
2011,"Feb",7.9,8.2,7.5,3.4,8.8
2011,"Jan",7.9,8.3,7.5,3.4,8.9
2010,"Dec",7.1,7.2,7.1,3.1,8
2010,"Nov",6.9,6.9,7,3.2,7.8
2010,"Oct",7,6.9,7.1,3.5,7.8
2010,"Sep",7.2,7.1,7.3,4.1,8
2010,"Aug",7.6,7.5,7.6,5.3,8.5
2010,"Jul",7.6,7.6,7.6,4.6,8.5
2010,"Jun",7.5,7.6,7.3,3.4,8.4
2010,"May",7.7,7.9,7.4,3.4,8.6
2010,"Apr",8.1,8.4,7.7,3.5,9.1
2010,"Mar",8.5,9,7.8,3.9,9.5
2010,"Feb",8.6,9.3,7.9,3.9,9.7
2010,"Jan",8.6,9.1,8,3.8,9.6
2009,"Dec",7.8,8,7.5,3.7,8.7
2009,"Nov",7.6,7.8,7.5,3.7,8.6
2009,"Oct",7.7,7.8,7.5,4.1,8.6
2009,"Sep",7.9,8,7.8,5.1,8.9
2009,"Aug",8.2,8.3,8.1,6.3,9.2
2009,"Jul",8.2,8.4,8,5.2,9.2
2009,"Jun",8.1,8.3,7.8,3.8,9.1
2009,"May",8.2,8.4,7.9,3.8,9.2
2009,"Apr",8.5,8.8,8.2,4,9.6
2009,"Mar",8.5,8.9,8.1,4.2,9.6
2009,"Feb",8.5,8.8,8.1,4.2,9.5
2009,"Jan",8.3,8.5,8.1,4,9.3
2008,"Dec",7.4,7.2,7.6,3.7,8.3
2008,"Nov",7.1,6.8,7.5,3.7,8
2008,"Oct",7.1,6.7,7.6,4.1,8
2008,"Sep",7.3,6.9,7.9,5.1,8.2
2008,"Aug",7.6,7.1,8.2,6.1,8.5
2008,"Jul",7.6,7.2,8.2,5,8.6
2008,"Jun",7.5,7.1,8,3.6,8.4
2008,"May",7.8,7.5,8.2,3.7,8.8
2008,"Apr",8.1,7.8,8.5,4,9.1
2008,"Mar",8.3,8.1,8.6,4.3,9.3
2008,"Feb",8.6,8.4,8.8,4.5,9.6
2008,"Jan",8.7,8.5,8.9,4.5,9.7
2007,"Dec",8.1,7.7,8.6,4.5,9.1
2007,"Nov",8,7.5,8.7,4.7,9
2007,"Oct",8.2,7.5,8.9,5.2,9.1
2007,"Sep",8.4,7.8,9.2,6.6,9.4
2007,"Aug",8.8,8.1,9.6,7.9,9.9
2007,"Jul",8.8,8.2,9.6,5.9,9.9
2007,"Jun",8.8,8.2,9.4,4.5,9.8
2007,"May",9.1,8.5,9.6,4.6,10.1
2007,"Apr",9.5,9,10,"-",10.6
2007,"Mar",9.8,9.5,10.2,"-",11
2007,"Feb",10.1,9.9,10.4,"-",11.3
2007,"Jan",10.2,9.9,10.6,"-",11.4
2006,"Dec",9.6,9,10.3,"-",10.7
2006,"Nov",9.6,8.9,10.3,"-",10.7
2006,"Oct",9.8,9.1,10.5,"-",10.9
2006,"Sep",10.1,9.5,10.9,"-",11.4
2006,"Aug",10.5,9.8,11.2,"-",11.7
2006,"Jul",10.5,10,11.1,"-",11.8
2006,"Jun",10.5,10.2,10.9,"-",11.8
2006,"May",10.9,10.6,11.1,"-",12.2
2006,"Apr",11.5,11.5,11.6,"-",12.9
2006,"Mar",12,12.3,11.7,"-",13.4
2006,"Feb",12.2,12.5,11.8,"-",13.6
2006,"Jan",12.1,12.3,11.9,"-",13.5
2005,"Dec",11.1,10.9,11.3,"-",12.4
2005,"Nov",10.9,10.6,11.3,"-",12.2
2005,"Oct",11,10.6,11.4,"-",12.2
2005,"Sep",11.2,10.9,11.6,"-",12.5
2005,"Aug",11.6,11.3,11.9,"-",12.9
2005,"Jul",11.7,11.5,11.9,"-",13
2005,"Jun",11.5,11.4,11.6,"-",12.8
2005,"May",11.8,11.8,11.8,"-",13.1
2005,"Apr",12.2,12.3,12.1,"-",13.5
2005,"Mar",12.7,13.1,12.2,"-",14.1
2005,"Feb",12.7,13.2,12.3,"-",14.1
2005,"Jan",12.3,12.7,11.8,"-",13.6
